impl	class	window	precision	recall	f1	n_call	n_truth
vardictcpp	all	0	1.0000	1.0000	1.0000	75	76
vardictcpp	snv	0	1.0000	1.0000	1.0000	64	66
vardictcpp	indel	0	1.0000	1.0000	1.0000	11	10
vardictcpp	all	1	1.0000	1.0000	1.0000	42	42
vardictcpp	snv	1	1.0000	1.0000	1.0000	42	42
vardictcpp	all	2	0.9773	0.9247	0.9503	88	93
vardictcpp	snv	2	0.9877	0.9756	0.9816	81	82
vardictcpp	indel	2	0.8571	0.5455	0.6667	7	11
vardictcpp	all	3	0.9576	0.9583	0.9580	118	120
vardictcpp	snv	3	0.9905	0.9908	0.9907	105	109
vardictcpp	indel	3	0.6923	0.6364	0.6632	13	11
vardictcpp	all	4	1.0000	0.9737	0.9867	37	38
vardictcpp	snv	4	1.0000	0.9706	0.9851	33	34
vardictcpp	all	5	1.0000	0.9286	0.9630	38	42
vardictcpp	snv	5	1.0000	0.9737	0.9867	35	38
vardictcpp	all	6	1.0000	1.0000	1.0000	18	18
vardictcpp	snv	6	1.0000	1.0000	1.0000	18	18
vardictcpp	all	7	1.0000	1.0000	1.0000	6	6
vardictcpp	snv	7	1.0000	1.0000	1.0000	6	6
vardictcpp	all	8	1.0000	1.0000	1.0000	21	21
vardictcpp	snv	8	1.0000	1.0000	1.0000	21	21
vardictcpp	all	9	1.0000	1.0000	1.0000	16	16
vardictcpp	snv	9	1.0000	1.0000	1.0000	14	14
vardictcpp	all	10	1.0000	0.9200	0.9583	22	25
vardictcpp	snv	10	1.0000	1.0000	1.0000	18	20
vardictcpp	all	13	0.9655	0.9655	0.9655	29	29
vardictcpp	snv	13	1.0000	1.0000	1.0000	28	28
vardictcpp	all	15	1.0000	1.0000	1.0000	6	6
vardictcpp	snv	15	1.0000	1.0000	1.0000	6	6
vardictcpp	all	16	1.0000	0.9655	0.9825	28	29
vardictcpp	snv	16	1.0000	1.0000	1.0000	27	27
vardictcpp	all	17	1.0000	1.0000	1.0000	45	45
vardictcpp	snv	17	1.0000	1.0000	1.0000	43	43
vardictcpp	all	18	0.9231	0.9231	0.9231	65	65
vardictcpp	snv	18	1.0000	0.9649	0.9821	55	57
vardictcpp	indel	18	0.5000	0.6250	0.5556	10	8
vardictcpp	all	19	0.9286	0.8667	0.8966	14	15
vardictcpp	snv	19	1.0000	1.0000	1.0000	10	10
vardictcpp	all	20	1.0000	1.0000	1.0000	34	34
vardictcpp	snv	20	1.0000	1.0000	1.0000	27	27
vardictcpp	indel	20	1.0000	1.0000	1.0000	7	7
vardictcpp	all	21	0.8889	0.8889	0.8889	18	18
vardictcpp	snv	21	1.0000	1.0000	1.0000	12	12
vardictcpp	indel	21	0.6667	0.6667	0.6667	6	6
vardictcpp	all	23	1.0000	0.9365	0.9672	56	63
vardictcpp	snv	23	1.0000	0.9492	0.9739	51	59
vardictcpp	all	24	1.0000	1.0000	1.0000	11	11
vardictcpp	snv	24	1.0000	1.0000	1.0000	9	9
vardictcpp	all	25	1.0000	0.9825	0.9912	56	57
vardictcpp	snv	25	1.0000	0.9800	0.9899	49	50
vardictcpp	indel	25	1.0000	1.0000	1.0000	7	7
vardictcpp	all	29	1.0000	1.0000	1.0000	17	17
vardictcpp	snv	29	1.0000	1.0000	1.0000	17	17
vardictcpp	all	30	1.0000	1.0000	1.0000	52	52
vardictcpp	snv	30	1.0000	1.0000	1.0000	49	49
vardictcpp	all	31	0.9915	0.9915	0.9915	117	118
vardictcpp	snv	31	1.0000	1.0000	1.0000	110	112
