sample	regions	tool	threads	wall_s	peakRSS_MB
SRR15006376	105949	vardictcpp	1	48.5	74
SRR15006376	105949	vardictcpp	8	7.7	364
SRR15006376	105949	VarDictJava	8	90.3	2655
SRR15006376	105949	VarDictJava	1	185.8	1260
SRR15006540	135145	vardictcpp	1	61.3	76
SRR15006540	135145	vardictcpp	8	9.2	333
SRR15006540	135145	VarDictJava	8	99.8	2583
SRR15006540	135145	VarDictJava	1	245.2	1107
SRR8657348	773667	vardictcpp	1	133.4	122
SRR8657348	773667	vardictcpp	8	14.3	248
SRR8657348	773667	VarDictJava	8	142.9	2129
SRR8657348	773667	VarDictJava	1	585.2	977
