sample	regions	tool	threads	rep	wall_s	peakRSS_MB
SRR15006376	105949	vardictcpp	1	1	44.08	73.8633
SRR15006376	105949	vardictcpp	1	2	44.48	73.9375
SRR15006376	105949	vardictcpp	1	3	49.48	73.9688
SRR15006376	105949	vardictcpp	1	4	44.21	74.0195
SRR15006376	105949	vardictcpp	1	5	44.52	73.8828
SRR15006376	105949	vardictcpp	8	1	7.76	349.344
SRR15006376	105949	vardictcpp	8	2	8.01	365.285
SRR15006376	105949	vardictcpp	8	3	8.01	357.043
SRR15006376	105949	vardictcpp	8	4	7.4	363.227
SRR15006376	105949	vardictcpp	8	5	7.37	357.762
SRR15006376	105949	VarDictJava	8	1	85	2588.4
SRR15006376	105949	VarDictJava	8	2	85	2676
SRR15006376	105949	VarDictJava	8	3	84.7	2521.45
SRR15006376	105949	VarDictJava	8	4	85	2730.3
SRR15006376	105949	VarDictJava	8	5	84.43	2632.59
SRR15006376	105949	VarDictJava	1	1	180.57	1279.16
SRR15006376	105949	VarDictJava	1	2	180.95	1273.55
SRR15006376	105949	VarDictJava	1	3	181.1	1278.53
SRR15006376	105949	VarDictJava	1	4	184.46	1246.67
SRR15006376	105949	VarDictJava	1	5	186.4	1274.11
SRR15006540	135145	vardictcpp	1	1	61.67	76.2148
SRR15006540	135145	vardictcpp	1	2	61.56	76.25
SRR15006540	135145	vardictcpp	1	3	62.63	76.4102
SRR15006540	135145	vardictcpp	1	4	62.52	76.1797
SRR15006540	135145	vardictcpp	1	5	61.45	76.2344
SRR15006540	135145	vardictcpp	8	1	10.39	299.594
SRR15006540	135145	vardictcpp	8	2	10.42	319.137
SRR15006540	135145	vardictcpp	8	3	10.5	308.852
SRR15006540	135145	vardictcpp	8	4	10.67	311.672
SRR15006540	135145	vardictcpp	8	5	10.44	343.98
SRR15006540	135145	VarDictJava	8	1	97.94	2568.83
SRR15006540	135145	VarDictJava	8	2	96.55	2497.11
SRR15006540	135145	VarDictJava	8	3	96.87	2637.84
SRR15006540	135145	VarDictJava	8	4	101.92	2254.18
SRR15006540	135145	VarDictJava	8	5	95.53	2607.44
SRR15006540	135145	VarDictJava	1	1	228.26	1084.13
SRR15006540	135145	VarDictJava	1	2	224.9	1079.85
SRR15006540	135145	VarDictJava	1	3	226.27	1114.51
SRR15006540	135145	VarDictJava	1	4	221.58	1114.2
SRR15006540	135145	VarDictJava	1	5	228.56	1080.27
SRR8657348	773667	vardictcpp	1	1	99.06	122.027
SRR8657348	773667	vardictcpp	1	2	94.94	122.211
SRR8657348	773667	vardictcpp	1	3	98.01	122.059
SRR8657348	773667	vardictcpp	1	4	96.39	122.324
SRR8657348	773667	vardictcpp	1	5	98.17	122.086
SRR8657348	773667	vardictcpp	8	1	14.81	253.383
SRR8657348	773667	vardictcpp	8	2	14.76	249.734
SRR8657348	773667	vardictcpp	8	3	14.85	251.512
SRR8657348	773667	vardictcpp	8	4	15.2	251.02
SRR8657348	773667	vardictcpp	8	5	15.1	252.586
SRR8657348	773667	VarDictJava	8	1	143.64	2179.32
SRR8657348	773667	VarDictJava	8	2	139.48	2080.98
SRR8657348	773667	VarDictJava	8	3	140.2	2098.52
SRR8657348	773667	VarDictJava	8	4	143.67	2084.05
SRR8657348	773667	VarDictJava	8	5	142.41	2067.46
SRR8657348	773667	VarDictJava	1	1	464.35	978.109
SRR8657348	773667	VarDictJava	1	2	473.52	974.344
SRR8657348	773667	VarDictJava	1	3	472.3	977.289
SRR8657348	773667	VarDictJava	1	4	479.88	976.703
SRR8657348	773667	VarDictJava	1	5	475.61	974.715
